"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"105378199",0.168047013169459,0.954433747359976,0.868195067048763,0.386957949321087,0.710740701482295,-6.24801997648867
"10885",-0.189099690336735,8.02022124623181,-0.868169778971911,0.386971737087606,0.710740701482295,-6.24804158881659
"107987301",0.155041793073884,1.08145595504651,0.868006756381435,0.387060628841761,0.710740701482295,-6.24818090032988
"2358",-0.175059987495085,13.4284859127434,-0.867978775317281,0.387075887417141,0.710740701482295,-6.24820480904577
"4507",-0.163273741775925,7.51137660654358,-0.867835636796631,0.387153949224017,0.710740701482295,-6.24832710335853
"107986180",0.112177470064557,0.324619781167506,0.867787975623357,0.387179943805646,0.710740701482295,-6.24836781956517
"105370926",-0.0632192809488736,0.050174032499106,-0.867699533687227,0.387228183221648,0.710740701482295,-6.24844336829744
"105378226",-0.0632192809488736,0.050174032499106,-0.867699533687227,0.387228183221648,0.710740701482295,-6.24844336829744
"107985519",-0.035849625007213,0.0284520833390568,-0.867652550831805,0.387253810871118,0.710740701482295,-6.24848349882523
"105374556",-0.035849625007213,0.0284520833390568,-0.867652550831805,0.387253810871118,0.710740701482295,-6.24848349882523
"105378533",-0.035849625007213,0.0284520833390568,-0.867652550831805,0.387253810871118,0.710740701482295,-6.24848349882523
"101927700",-0.035849625007213,0.0284520833390568,-0.867652550831805,0.387253810871118,0.710740701482295,-6.24848349882523
"107985467",-0.0358496250072115,0.0284520833390568,-0.867652550831772,0.387253810871136,0.710740701482295,-6.24848349882525
